IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.15.80,2052,2052,false,NRT,Asia Pacific,Tokyo,81,10.76
8.219.213.84,8080,8080,false,SIN,Asia Pacific,Singapore,25,10.76
47.91.31.235,2096,2096,true,NRT,Asia Pacific,Tokyo,115,10.76
47.245.6.9,2053,2053,true,HKG,Asia Pacific,Hong Kong,240,10.76
8.219.6.157,2052,2052,false,SIN,Asia Pacific,Singapore,5,10.76
47.74.18.121,2083,2083,true,NRT,Asia Pacific,Tokyo,226,10.76
8.219.245.187,8443,8443,true,SIN,Asia Pacific,Singapore,85,10.76
47.74.34.162,2053,2053,true,NRT,Asia Pacific,Tokyo,224,10.76
8.219.122.55,2096,2096,true,SIN,Asia Pacific,Singapore,87,10.75
8.222.219.34,2096,2096,true,SIN,Asia Pacific,Singapore,88,10.75
8.222.221.90,2095,2095,false,SIN,Asia Pacific,Singapore,14,10.75
8.219.251.81,2083,2083,true,SIN,Asia Pacific,Singapore,51,10.75
8.219.70.117,2096,2096,true,SIN,Asia Pacific,Singapore,128,10.75
47.245.89.102,2087,2087,true,SIN,Asia Pacific,Singapore,23,10.75
8.222.212.219,2087,2087,true,SIN,Asia Pacific,Singapore,86,10.75
8.218.18.235,2053,2053,true,HKG,Asia Pacific,Hong Kong,102,10.74
8.219.228.193,2096,2096,true,SIN,Asia Pacific,Singapore,59,10.74
8.219.245.187,2053,2053,true,SIN,Asia Pacific,Singapore,51,10.74
8.219.0.162,8443,8443,true,SIN,Asia Pacific,Singapore,112,10.74
47.245.37.89,8880,8880,false,NRT,Asia Pacific,Tokyo,90,10.74
8.219.13.143,2083,2083,true,SIN,Asia Pacific,Singapore,124,10.74
8.219.197.111,8443,8443,true,SIN,Asia Pacific,Singapore,57,10.74
47.245.34.140,2086,2086,false,NRT,Asia Pacific,Tokyo,101,10.74
47.236.123.133,2083,2083,true,SIN,Asia Pacific,Singapore,69,10.73
47.74.11.9,80,80,false,NRT,Asia Pacific,Tokyo,90,10.73
47.245.54.58,2086,2086,false,NRT,Asia Pacific,Tokyo,74,10.73
47.245.54.197,80,80,false,NRT,Asia Pacific,Tokyo,89,10.73
47.236.82.218,8080,8080,false,SIN,Asia Pacific,Singapore,11,10.72
8.219.210.93,8443,8443,true,SIN,Asia Pacific,Singapore,121,10.72
8.222.221.90,2083,2083,true,SIN,Asia Pacific,Singapore,125,10.72
8.222.210.182,8443,8443,true,SIN,Asia Pacific,Singapore,67,10.72
8.222.180.242,8080,8080,false,SIN,Asia Pacific,Singapore,48,10.71
47.245.37.98,80,80,false,NRT,Asia Pacific,Tokyo,81,10.71
47.91.19.249,2082,2082,false,NRT,Asia Pacific,Tokyo,79,10.71
8.219.102.252,8080,8080,false,SIN,Asia Pacific,Singapore,25,10.71
8.218.126.53,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,10.71
47.245.15.236,2053,2053,true,NRT,Asia Pacific,Tokyo,86,10.70
8.219.185.191,2095,2095,false,SIN,Asia Pacific,Singapore,22,10.70
8.219.198.34,2086,2086,false,SIN,Asia Pacific,Singapore,7,10.69
8.209.222.232,2053,2053,true,HKG,Asia Pacific,Hong Kong,206,10.69
8.218.243.95,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,10.69
8.222.167.8,8443,8443,true,SIN,Asia Pacific,Singapore,137,10.69
8.219.55.31,2082,2082,false,SIN,Asia Pacific,Singapore,10,10.69
8.219.208.69,2096,2096,true,SIN,Asia Pacific,Singapore,60,10.68
47.245.39.28,2086,2086,false,NRT,Asia Pacific,Tokyo,101,10.68
47.243.161.235,8880,8880,false,HKG,Asia Pacific,Hong Kong,63,10.68
8.219.222.8,80,80,false,SIN,Asia Pacific,Singapore,9,10.68
8.218.18.235,2096,2096,true,HKG,Asia Pacific,Hong Kong,286,10.67
47.74.52.188,8880,8880,false,NRT,Asia Pacific,Tokyo,78,10.67
8.222.136.196,2087,2087,true,SIN,Asia Pacific,Singapore,4,10.67
8.222.208.83,2052,2052,false,SIN,Asia Pacific,Singapore,3,10.67
8.219.106.15,2087,2087,true,SIN,Asia Pacific,Singapore,59,10.67
8.222.252.150,2086,2086,false,SIN,Asia Pacific,Singapore,3,10.66
8.219.161.129,8443,8443,true,SIN,Asia Pacific,Singapore,73,10.66
47.245.6.9,8880,8880,false,HKG,Asia Pacific,Hong Kong,161,10.65
47.74.13.23,2052,2052,false,NRT,Asia Pacific,Tokyo,86,10.65
47.74.54.33,2083,2083,true,NRT,Asia Pacific,Tokyo,177,10.65
47.236.116.208,2087,2087,true,SIN,Asia Pacific,Singapore,32,10.65
47.74.27.211,2095,2095,false,NRT,Asia Pacific,Tokyo,93,10.65
8.219.173.195,2096,2096,true,SIN,Asia Pacific,Singapore,85,10.65
8.218.8.142,80,80,false,HKG,Asia Pacific,Hong Kong,34,10.64
8.219.251.81,443,443,true,SIN,Asia Pacific,Singapore,98,10.64
8.219.114.201,2096,2096,true,SIN,Asia Pacific,Singapore,67,10.63
47.74.27.94,2096,2096,true,NRT,Asia Pacific,Tokyo,189,10.63
8.219.112.75,2095,2095,false,SIN,Asia Pacific,Singapore,16,10.63
47.245.37.125,2052,2052,false,NRT,Asia Pacific,Tokyo,80,10.63
8.209.252.13,2052,2052,false,NRT,Asia Pacific,Tokyo,79,10.63
47.74.42.17,8443,8443,true,NRT,Asia Pacific,Tokyo,192,10.63
8.219.198.139,2053,2053,true,SIN,Asia Pacific,Singapore,114,10.62
8.219.170.223,2053,2053,true,SIN,Asia Pacific,Singapore,87,10.62
8.219.210.226,2082,2082,false,SIN,Asia Pacific,Singapore,3,10.62
47.74.13.66,2096,2096,true,NRT,Asia Pacific,Tokyo,136,10.62
8.218.110.180,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,10.62
47.245.11.108,2083,2083,true,NRT,Asia Pacific,Tokyo,82,10.62
47.91.19.249,2053,2053,true,NRT,Asia Pacific,Tokyo,152,10.61
8.209.255.195,8080,8080,false,HKG,Asia Pacific,Hong Kong,163,10.61
8.219.208.69,2082,2082,false,SIN,Asia Pacific,Singapore,14,10.61
47.245.52.153,2096,2096,true,NRT,Asia Pacific,Tokyo,138,10.61
8.209.222.232,8080,8080,false,HKG,Asia Pacific,Hong Kong,160,10.60
8.219.222.8,8080,8080,false,SIN,Asia Pacific,Singapore,21,10.60
47.74.37.50,2095,2095,false,NRT,Asia Pacific,Tokyo,89,10.59
8.219.140.63,2052,2052,false,SIN,Asia Pacific,Singapore,11,10.59
47.245.41.169,2086,2086,false,NRT,Asia Pacific,Tokyo,78,10.59
8.219.142.229,2087,2087,true,SIN,Asia Pacific,Singapore,84,10.58
47.245.37.98,2082,2082,false,NRT,Asia Pacific,Tokyo,88,10.57
8.219.193.202,2082,2082,false,SIN,Asia Pacific,Singapore,10,10.57
47.74.11.9,8443,8443,true,NRT,Asia Pacific,Tokyo,238,10.57
8.219.210.226,8443,8443,true,SIN,Asia Pacific,Singapore,62,10.57
47.74.45.143,8443,8443,true,NRT,Asia Pacific,Tokyo,146,10.56
8.219.179.34,2086,2086,false,SIN,Asia Pacific,Singapore,11,10.56
47.74.5.233,8880,8880,false,NRT,Asia Pacific,Tokyo,89,10.56
8.219.124.227,8080,8080,false,SIN,Asia Pacific,Singapore,8,10.56
8.219.142.229,8443,8443,true,SIN,Asia Pacific,Singapore,93,10.56
8.219.194.170,2086,2086,false,SIN,Asia Pacific,Singapore,21,10.55
47.236.116.182,2053,2053,true,SIN,Asia Pacific,Singapore,87,10.55
8.219.67.133,443,443,true,SIN,Asia Pacific,Singapore,63,10.55
8.219.103.57,80,80,false,SIN,Asia Pacific,Singapore,12,10.55
8.218.201.73,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,10.55
8.219.72.51,2083,2083,true,SIN,Asia Pacific,Singapore,63,10.54
47.245.40.55,2083,2083,true,HKG,Asia Pacific,Hong Kong,281,10.54
47.236.65.177,8080,8080,false,SIN,Asia Pacific,Singapore,19,10.54
8.218.156.91,2082,2082,false,HKG,Asia Pacific,Hong Kong,48,10.54
8.219.87.34,2053,2053,true,SIN,Asia Pacific,Singapore,89,10.53
47.236.114.23,2083,2083,true,SIN,Asia Pacific,Singapore,102,10.53
8.219.233.6,2086,2086,false,SIN,Asia Pacific,Singapore,6,10.53
8.210.21.65,2086,2086,false,HKG,Asia Pacific,Hong Kong,49,10.53
8.219.13.143,8443,8443,true,SIN,Asia Pacific,Singapore,68,10.53
8.219.6.157,2082,2082,false,SIN,Asia Pacific,Singapore,6,10.52
47.74.13.94,2082,2082,false,NRT,Asia Pacific,Tokyo,97,10.52
47.245.12.179,2096,2096,true,NRT,Asia Pacific,Tokyo,79,10.52
8.219.72.51,8880,8880,false,SIN,Asia Pacific,Singapore,8,10.51
47.245.41.69,2083,2083,true,NRT,Asia Pacific,Tokyo,232,10.51
8.219.255.171,2082,2082,false,SIN,Asia Pacific,Singapore,29,10.50
